home_player,away_player,sets,resulthome,resultaway,match_number
Soós Péter,Varga Gergely,[],1,3,1
Soós Péter,Kollár Tamás,[],1,3,5
Soós Péter,Pintér Róbert,[],0,3,9
Soós Péter,Losonczi Benjamin,[],2,3,13
Tóth Károly,Varga Gergely,[],3,2,14
Tóth Károly,Kollár Tamás,[],3,0,2
Tóth Károly,Pintér Róbert,[],1,3,6
Tóth Károly,Losonczi Benjamin,[],0,3,10
Balog István,Varga Gergely,[],0,3,11
Balog István,Kollár Tamás,[],2,3,15
Balog István,Pintér Róbert,[],1,3,3
Balog István,Losonczi Benjamin,[],3,1,7
Bősz Gábor,Varga Gergely,[],1,3,8
Bősz Gábor,Kollár Tamás,[],1,3,12
Bősz Gábor,Pintér Róbert,[],0,3,16
Bősz Gábor,Losonczi Benjamin,[],2,3,4
