position,name,license,team,matches,wins,win_percentage
1.,Antal Imre,9241,MAVEX SE III.,97,88,90.72%
2.,Csonka Zoltán,8869,MALÉV SC II.,116,105,90.52%
3.,Bogyó Csaba,8541,ESMTK I.,90,81,90%
4.,Csikos Ferenc,8217,Szufla SE I.-Kerepes,117,100,85.47%
5.,Szántó Gyula,8281,Sanitas-BUDO SE III.-Autóklub,116,93,80.17%
6.,Straubinger Balázs,16715,KSI SE II.,92,70,76.09%
7.,Kaszás László,10978,ESMTK I.,109,82,75.23%
8.,Urbán Erika,9375,MVM SE I.,108,78,72.22%
9.,Nozicska József,11623,MTK Budapest,120,85,70.83%
10.,Nemes Gábor,8883,Sanitas-BUDO SE III.-Autóklub,112,79,70.54%
11.,Gyuris Alajos Tibor,16202,Kispest SE II.,92,62,67.39%
12.,Ilosvai Brigitta,9078,ESMTK I.,105,70,66.67%
13.,Németh Dávid,11047,Szufla SE I.-Kerepes,105,67,63.81%
14.,Mannah Kinán dr,11257,Ikarus BSE I.,113,72,63.72%
15.,Xiong Shao,13384,MAVEX SE III.,113,71,62.83%
16.,Csiszár Gábor,12144,MAFC I.,112,70,62.5%
17.,Krajczár István,12906,Szufla SE I.-Kerepes,93,58,62.37%
18.,Dudás Balázs dr.,9510,ESMTK I.,90,56,62.22%
19.,Szarka Béla,8276,MALÉV SC II.,104,60,57.69%
20.,Tóth András,10493,MAVEX SE III.,117,64,54.7%
21.,Szabó László,9698,Budai XI SE I.,112,61,54.46%
22.,Bódis Attila,9553,MAFC I.,100,52,52%
23.,Csaba Zoltán,12793,Ikarus BSE I.,105,53,50.48%
,Folkmayer Marcell,16134,KSI SE II.,105,53,50.48%
,Szabó László,9347,KSI SE II.,105,53,50.48%
26.,Lucz  Bertold,9621,MAVEX SE III.,109,55,50.46%
27.,Pályi Attila,9940,Budai XI SE I.,116,57,49.14%
28.,Lipka Zsolt,10590,Pénzügyőr SE V.,112,55,49.11%
29.,Lelesz István,10099,Kőbánya SC I.,120,58,48.33%
30.,Nagy Attila,11736,Ikarus BSE I.,105,49,46.67%
31.,Kádár Péter,11365,Budai XI SE I.,116,54,46.55%
32.,Penczner Endre,10101,Kőbánya SC I.,112,52,46.43%
33.,Szalai István,10747,Postás SE II.,120,55,45.83%
34.,Ondré János,10609,OTP SK I.,100,45,45%
35.,Gönczöl Péter,9392,MVM SE I.,108,48,44.44%
36.,Várady Ágnes,8138,MVM SE I.,104,46,44.23%
37.,Botyánszki László,9195,Postás SE II.,116,51,43.97%
38.,Tóth Attila,9563,MAFC I.,104,44,42.31%
39.,Bicsák Bettina,10636,MTK Budapest,116,43,37.07%
40.,Szabó Gergely,8683,Budai XI SE I.,116,40,34.48%
41.,Bátorfi István dr,10749,Postás SE II.,120,40,33.33%
42.,Markó Tamás,11632,Postás SE II.,92,30,32.61%
43.,Kisgéczi Domonkos,15995,Pénzügyőr SE V.,100,29,29%
44.,Pillinger János,9672,Kőbánya SC I.,104,30,28.85%
45.,Bódis Ádám,8163,MAFC I.,116,31,26.72%
46.,Makk Zsolt,12325,OTP SK I.,92,16,17.39%
,Horváth Tamás,11240,Kispest SE II.,92,16,17.39%
48.,Göndöcs Zoltán,9232,Ikarus BSE I.,105,17,16.19%
