home_player,away_player,sets,resulthome,resultaway,match_number
Csikos Ferenc,Nagy Attila,[],3,0,1
Csikos Ferenc,Göndöcs Zoltán,[],3,0,5
Csikos Ferenc,Puskás Bálint,[],3,0,9
Csikos Ferenc,Mannah Kinán dr,[],3,0,13
Németh Dávid,Nagy Attila,[],1,3,14
Németh Dávid,Göndöcs Zoltán,[],3,0,2
Németh Dávid,Puskás Bálint,[],3,2,6
Németh Dávid,Mannah Kinán dr,[],3,2,10
Novothny-Farkas Csaba,Nagy Attila,[],3,0,11
Novothny-Farkas Csaba,Göndöcs Zoltán,[],3,1,15
Novothny-Farkas Csaba,Puskás Bálint,[],1,3,3
Novothny-Farkas Csaba,Mannah Kinán dr,[],3,2,7
Novák Balázs János,Nagy Attila,[],3,1,8
Novák Balázs János,Göndöcs Zoltán,[],3,1,12
Novák Balázs János,Puskás Bálint,[],0,3,16
Novák Balázs János,Mannah Kinán dr,[],3,2,4
