home_player,away_player,sets,resulthome,resultaway,match_number
Somogyi Roland,Németh Bence,[],2,3,1
Somogyi Roland,Bánkuti Csaba,[],0,3,5
Somogyi Roland,Farkas Ágnes,[],2,3,9
Somogyi Roland,Bencsik GergelyTóth Zsolt,[],3,1,13
Borbély János,Németh Bence,[],1,3,14
Borbély János,Bánkuti Csaba,[],2,3,2
Borbély János,Farkas Ágnes,[],3,1,6
Borbély János,Bencsik GergelyTóth Zsolt,[],1,3,10
Dezsényiné Horgos Barbara,Németh Bence,[],1,3,11
Dezsényiné Horgos Barbara,Bánkuti Csaba,[],0,3,15
Dezsényiné Horgos Barbara,Farkas Ágnes,[],1,3,3
Dezsényiné Horgos Barbara,Bencsik GergelyTóth Zsolt,[],3,2,7
Mohácsi János,Németh Bence,[],2,3,8
Mohácsi János,Bánkuti Csaba,[],0,3,12
Mohácsi János,Farkas Ágnes,[],1,3,16
Mohácsi János,Bencsik GergelyTóth Zsolt,[],1,3,4
