position,name,license,team,matches,wins,win_percentage
1.,Jónás Csaba,11283,Multi Sport SE I.,28,26,92.86%
,Kiss György,16270,NKM Gáz SE I.,28,26,92.86%
3.,Lucz Péter,9625,Honvéd Zrínyi SE II.,24,22,91.67%
4.,Botár Attila,12343,Törekvés SE,28,25,89.29%
5.,Szétag Attila,8716,ABC Centerline IV.,36,32,88.89%
,Nozicska József,11623,NKM Gáz SE I.,27,24,88.89%
7.,Németh Tamás,17304,ESZVK-Parazsak,32,28,87.5%
8.,Alaksa Levente,13746,BKV Előre  SC III.,32,27,84.38%
9.,Szabó Csilla,15692,Budai XI SE IV.-Kontra cs.,32,25,78.13%
10.,Tóth Jánosné,12465,FKF SK IV.-Öregfiúk,32,24,75%
,Veress Barna Dániel,11337,KIWI SE,32,24,75%
,Nikolich Branko dr.,20001,High Life SE IV.-Diavoli,28,21,75%
13.,Bella Balázs,8731,Budai XI SE IV.-Kontra cs.,32,23,71.88%
14.,Péli László,13457,Multi Sport SE I.,24,17,70.83%
15.,Halasi Dávid dr.,11862,BEAC II.,33,22,66.67%
16.,Szabó Tamás,13905,ESZVK-Parazsak,20,13,65%
17.,Demény Lóránd,18621,Budai XI SE VIII.-Őrmező,36,23,63.89%
,Visnyánszky Mihály,8297,BKV Előre  SC III.,36,23,63.89%
,Uhrin Zsolt,17599,Budai XI SE VIII.-Őrmező,36,23,63.89%
,La Roche István,10489,Törekvés SE,36,23,63.89%
,Szétag-Thész Dorottya,8419,ABC Centerline IV.,36,23,63.89%
22.,Metykó László,15848,BKV Előre  SC III.,32,20,62.5%
,Botlik Gergő,18458,BEAC II.,32,20,62.5%
24.,Bodnár István,16752,NKM Gáz SE I.,34,21,61.76%
25.,Gárdai Csaba,11245,KIWI SE,36,22,61.11%
26.,Kis László,9629,Honvéd Zrínyi SE II.,28,17,60.71%
27.,Zsedényi Csaba,15672,Pénzügyőr SE VII.,35,20,57.14%
28.,Jeges Csaba,14639,Budai XI SE VIII.-Őrmező,23,13,56.52%
29.,Tomacsek József,19456,Pénzügyőr SE VII.,32,18,56.25%
30.,Szabó László,11941,Budai XI SE VIII.-Őrmező,30,16,53.33%
31.,Németh Péter,12789,ABC Centerline IV.,32,17,53.13%
32.,Váczi Attila Mihály,16351,BEAC II.,27,14,51.85%
33.,Kovács Csaba,10603,MAFC IV.-EMKÁBÉ,36,18,50%
,Dibusz Tibor,17264,Multi Sport SE I.,28,14,50%
,Pásztor József,19457,Pénzügyőr SE VII.,20,10,50%
36.,Pikó Imre,14325,FKF SK IV.-Öregfiúk,36,17,47.22%
37.,Hadnagy Levente,19557,High Life SE IV.-Diavoli,30,14,46.67%
38.,Baluka Tamás,9826,High Life SE IV.-Diavoli,28,13,46.43%
39.,Tóth Márta,11624,Törekvés SE,20,9,45%
40.,Lippai László,8635,Honvéd Zrínyi SE II.,27,12,44.44%
41.,Szeles László,19022,High Life SE IV.-Diavoli,26,11,42.31%
42.,Vasanits Attila,14972,NKM Gáz SE I.,22,9,40.91%
43.,Babusa Sándor,9524,Honvéd Zrínyi SE II.,32,13,40.63%
,Raksányi Géza,8659,FKF SK IV.-Öregfiúk,32,13,40.63%
45.,Horváth Ákos dr,10355,FKF SK IV.-Öregfiúk,30,11,36.67%
46.,Kelemen János,14073,KIWI SE,36,13,36.11%
47.,Székely András dr.,8732,Budai XI SE IV.-Kontra cs.,28,10,35.71%
48.,Papp László,17958,GALAXIS VSE III.-Fortuna,34,12,35.29%
49.,Kertész Gábor,15498,NKM Gáz SE I.,29,10,34.48%
50.,Kasza Zoltán,19815,GALAXIS VSE III.-Fortuna,36,11,30.56%
,Szénás József,13852,MAFC IV.-EMKÁBÉ,36,11,30.56%
52.,Kertai László,14324,ABC Centerline IV.,20,6,30%
53.,Héregi László,8715,GALAXIS VSE III.-Fortuna,24,7,29.17%
54.,Ányos Béla,19497,MAFC IV.-EMKÁBÉ,21,6,28.57%
55.,Rigó József,16253,ESZVK-Parazsak,27,7,25.93%
56.,Bende Attila,9941,Budai XI SE IV.-Kontra cs.,36,9,25%
,Órai Dezső,14221,ESZVK-Parazsak,32,8,25%
58.,Balogh Gyula,18898,MAFC IV.-EMKÁBÉ,35,8,22.86%
59.,Nagy Péter,13311,GALAXIS VSE III.-Fortuna,32,7,21.88%
,Papp Csaba,19532,Pénzügyőr SE VII.,32,7,21.88%
61.,Huszár Attila,18411,ABC Centerline IV.,20,2,10%
