position,name,license,team,matches,wins,win_percentage
1.,Makranczi László Zsolt,10739,Szent Pál Akadémia-HSE I.,112,103,91.96%
2.,Stircz Kristóf,12506,Szent Pál Akadémia-HSE I.,76,69,90.79%
3.,Bertalan Krisztián,19824,Pestszentimrei PSE IV.,108,94,87.04%
4.,Hertelendy Amadó,13888,BKV Előre SC I.,96,81,84.38%
5.,Kisvarga Benjámin,14361,Szent Pál Akadémia-HSE I.,104,86,82.69%
6.,Stefán István,18929,Pestszentimrei PSE IV.,112,92,82.14%
7.,Hagymási András,8243,KSI SE III.,86,69,80.23%
8.,Horváth Kálmán,15579,Angyalföldi TTE I.,112,86,76.79%
9.,Novák Balázs János,13915,BKV Előre SC I.,92,70,76.09%
10.,Simon Krisztián,12708,ABC Centerline II.,108,81,75%
,Maruzs Bence dr.,17738,Pestszentimrei PSE IV.,104,78,75%
,Bali Péter,9169,ESMTK II.,104,78,75%
,Gőgh József,17729,Budai XI SE IV.,88,66,75%
14.,Steinbach Roland,16711,Szent Pál Akadémia-HSE I.,96,70,72.92%
15.,Szalay Tamás dr.,19434,GALAXIS VSE I.,84,61,72.62%
16.,Horgonyi-Szabó Árpád,14774,Pénzügyőr SE V.,76,53,69.74%
17.,Halász András,8441,BKV Előre SC I.,92,63,68.48%
18.,Pósfai László,9814,BKV Előre SC I.,92,62,67.39%
19.,Simon Péter,19728,GALAXIS VSE I.,92,60,65.22%
20.,Takács  Attila,16944,High Life SE II.-WASABI,108,70,64.81%
21.,Gyöngyössy György,19054,High Life SE II.-WASABI,96,62,64.58%
22.,Prinyi Csaba,14743,KSI Senior-KÖZGÁZ SC és DSK,104,64,61.54%
23.,Demeter Sándor ifj.,8627,MAFC II.,96,57,59.38%
24.,Vancsura György,8519,KSI Senior-KÖZGÁZ SC és DSK,108,63,58.33%
25.,Juhász László,9528,KSI SE III.,88,51,57.95%
26.,Rugási László,8207,KSI Senior-KÖZGÁZ SC és DSK,108,62,57.41%
27.,Nagy Zoltán,16328,ABC Centerline II.,112,63,56.25%
,Strobel Soma,15110,ESMTK II.,96,54,56.25%
29.,Kajdon András,10277,Budai XI SE IV.,78,43,55.13%
30.,Papp Nándor,8420,ABC Centerline II.,112,61,54.46%
31.,Kardos Géza,14321,Pénzügyőr SE V.,88,47,53.41%
32.,Kirchmayer Richárd,13893,ESMTK II.,84,44,52.38%
33.,Baán Rita,11574,Budai XI SE IV.,92,47,51.09%
34.,Tokai Imre,19004,Budai XI SE IV.,88,44,50%
35.,Tóth Renátó,13884,MAVEX SE IV.-Mátyásföldi Sasok,68,33,48.53%
36.,Gulyás István,8754,KSI SE III.,92,44,47.83%
37.,Homonyik Attila,15526,MAVEX SE IV.-Mátyásföldi Sasok,80,37,46.25%
38.,Litkei József,11622,BVSC-Zugló IV.-Senior II.,100,45,45%
39.,Szalay Zoltán dr.,20033,GALAXIS VSE I.,72,32,44.44%
40.,Dudás István,9086,KSI SE III.,102,45,44.12%
41.,Éll József,14104,Pénzügyőr SE V.,104,44,42.31%
42.,Seprős Richárd,14796,Budai XI SE IV.,84,35,41.67%
43.,Zsigmond Csaba,14778,Pestszentimrei PSE IV.,68,28,41.18%
44.,Friesz József,9015,ABC Centerline II.,56,23,41.07%
45.,Bódis Attila,9553,MAFC II.,72,26,36.11%
46.,Bálint Sándor,16679,MAVEX SE IV.-Mátyásföldi Sasok,78,28,35.9%
47.,Han Ai Jun,19638,BVSC-Zugló IV.-Senior II.,104,37,35.58%
48.,Szabó József,12483,Angyalföldi TTE I.,112,39,34.82%
49.,Gyöngyössy György ifj.,16666,High Life SE II.-WASABI,100,34,34%
50.,Kovács Attila,12581,MAFC II.,76,24,31.58%
51.,Sztranyan János,17956,GALAXIS VSE I.,84,25,29.76%
52.,Tóth Krisztián,14741,BKV Előre SC I.,64,19,29.69%
53.,Hontvári László,11527,BVSC-Zugló IV.-Senior II.,96,28,29.17%
54.,Molnár András Gábor,13821,GALAXIS VSE I.,80,19,23.75%
55.,Sári László,9817,Angyalföldi TTE I.,92,21,22.83%
56.,Benyhe István,10597,BVSC-Zugló IV.-Senior II.,76,14,18.42%
