home_player,away_player,sets,resulthome,resultaway,match_number
Fábián Ferenc,Keresztesi László,[],0,3,1
Fábián Ferenc,Matis Ferenc,[],2,3,5
Fábián Ferenc,Tóth Renátó,[],2,3,9
Fábián Ferenc,Bálint Sándor,[],3,0,13
Szabó József,Keresztesi László,[],3,2,14
Szabó József,Matis Ferenc,[],0,3,2
Szabó József,Tóth Renátó,[],0,3,6
Szabó József,Bálint Sándor,[],0,3,10
Mucsina István,Keresztesi László,[],0,3,11
Mucsina István,Matis Ferenc,[],2,3,15
Mucsina István,Tóth Renátó,[],0,3,3
Mucsina István,Bálint Sándor,[],2,3,7
Stirling Tamás dr.,Keresztesi László,[],3,1,8
Stirling Tamás dr.,Matis Ferenc,[],3,0,12
Stirling Tamás dr.,Tóth Renátó,[],0,3,16
Stirling Tamás dr.,Bálint Sándor,[],3,0,4
