home_player,away_player,sets,resulthome,resultaway,match_number
Várszegi István,Korály Csaba,"['12-10', '11-2', '11-5']",3,0,1
Várszegi István,Farkas Zoltán,"['11-2', '11-7', '11-2']",3,0,5
Várszegi István,Nagy Andrea,"['11-8', '11-7', '11-4']",3,0,9
Várszegi István,Solodovnikova Anna,"['11-9', '11-9', '11-9']",3,0,13
Kádár Péter,Korály Csaba,"['11-6', '7-11', '11-5', '12-14']",2,3,14
Kádár Péter,Farkas Zoltán,"['11-2', '11-8', '11-4']",3,0,2
Kádár Péter,Nagy Andrea,"['15-13', '11-6', '11-6']",3,0,6
Kádár Péter,Solodovnikova Anna,"['11-3', '11-9', '13-11']",3,0,10
Pályi Attila,Korály Csaba,"['11-4', '7-11', '7-11', '7-11']",1,3,11
Pályi Attila,Farkas Zoltán,"['11-6', '7-11', '11-9', '11-7']",3,1,15
Pályi Attila,Nagy Andrea,"['11-2', '11-4', '11-8']",3,0,3
Pályi Attila,Solodovnikova Anna,"['11-6', '11-9', '11-4']",3,0,7
Szabó Gergely,Korály Csaba,"['11-7', '5-11', '11-8', '7-11']",3,2,8
Szabó Gergely,Farkas Zoltán,"['11-2', '11-8', '11-0']",3,0,12
Szabó Gergely,Nagy Andrea,"['10-12', '15-13', '11-2', '10-12']",3,2,16
Szabó Gergely,Solodovnikova Anna,"['12-14', '11-7', '10-12', '11-5']",2,3,4
