home_player,away_player,sets,resulthome,resultaway,match_number
Széles Gergely Zoltán,Pengő István,"['6-11', '11-5', '11-7', '11-5']",3,1,1
Széles Gergely Zoltán,Nagy István,"['11-6', '11-8', '12-10']",3,0,5
Széles Gergely Zoltán,Lajos Tiborné,"['12-10', '11-8', '10-12', '11-6']",3,1,9
Széles Gergely Zoltán,Szántó Sándor,"['11-6', '11-9', '11-7']",3,0,13
Szabó Győző,Pengő István,"['11-7', '10-12', '11-7', '11-6']",3,1,14
Szabó Győző,Nagy István,"['12-10', '11-7', '12-10']",3,0,2
Szabó Győző,Lajos Tiborné,"['11-6', '11-7', '11-4']",3,0,6
Szabó Győző,Szántó Sándor,"['11-7', '12-10', '11-5']",3,0,10
Nagy Zsombor Kristóf,Pengő István,"['11-0', '11-6', '11-5']",3,0,11
Nagy Zsombor Kristóf,Nagy István,"['11-7', '9-11', '11-8', '5-11']",3,2,15
Nagy Zsombor Kristóf,Lajos Tiborné,"['6-11', '11-6', '11-4', '11-6']",3,1,3
Nagy Zsombor Kristóf,Szántó Sándor,"['12-10', '6-11', '7-11', '11-8']",2,3,7
Molnár László,Pengő István,"['11-6', '11-5', '11-3']",3,0,8
Molnár László,Nagy István,"['12-14', '9-11', '11-2', '7-11']",1,3,12
Molnár László,Lajos Tiborné,"['11-9', '6-11', '9-11', '7-11']",1,3,16
Molnár László,Szántó Sándor,"['9-11', '11-6', '11-6', '11-8']",3,1,4
